"Source:","/home/mkpk/Desktop/repo/kicad_project/KiCad_SolderingIron/SI_kicad.sch"
"Date:","śro, 23 lis 2022, 14:00:41"
"Tool:","Eeschema 6.0.9-8da3e8f707~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","88"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BZ1, ","1","Buzzer","Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","Buzzer, polarized",""
"C1, C6, C7, C11, C13, C15, C17, C19, C21, ","9","100n","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor",""
"C2, C3, ","2","22p","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor",""
"C4, C5, C10, C12, C14, C16, C20, ","7","10n","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor",""
"C8, ","1","4.7u","CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"C9, ","1","100u","CP-Device","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","",""
"C18, ","1","2u","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor",""
"D1, ","1","LED","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode",""
"D2, ","1","VS-KBPC806","VS-KBPC806","Diode_THT:Diode_Bridge_Vishay_KBPC6","Single-Phase Bridge Rectifier, 250V Vrms, 8.0A If, KBPC6 package",""
"D3, D4, ","2","1N4001","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","50V 1A General Purpose Rectifier Diode, DO-41",""
"F1, ","1","3A","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","Fuse",""
"H1, H2, H3, H4, H5, H6, H7, H8, ","8","MountingHole","MountingHole","MountingHole:MountingHole_2.7mm_M2.5_DIN965_Pad","Mounting Hole without connection",""
"H9, ","1","Logo_Open_Hardware_Small","Logo_Open_Hardware_Small","Symbol:OSHW-Logo_5.7x6mm_Copper","Open Hardware logo, small",""
"J1, ","1","Conn_01x16_Female","Conn_01x16_Female","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","Generic connector, single row, 01x16, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","SCW_TERM_01x02","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","Conn_02x05_Counter_Clockwise","Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","Generic connector, double row, 02x05, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","Conn_01x05_Male","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
